ts,i_bat_raw,u_bat_raw,t_cells,ca_ch,ca_disch
34.62622167,-3.999877818,3.2598925,29.322582,1.075726,0.019387372
34.65966,-4.000683727,3.2498531,29.322582,1.075726,0.02181421
34.65966167,-4.000683727,3.2498531,29.344973,1.075726,0.02181421
34.69832,-3.999964545,3.2398186,29.344973,1.075726,0.02467224
34.69832167,-3.999964545,3.2398186,29.400597,1.075726,0.02467224
34.74592667,-3.999864,3.2297955,29.400597,1.075726,0.028169822
34.74592833,-3.999864,3.2297955,29.341722,1.075726,0.028169822
34.80508167,-3.999735182,3.2197056,29.369078,1.075726,0.032513473
34.882775,-3.999631636,3.2096329,29.369078,1.075726,0.038192511
34.88277667,-3.999631636,3.2096329,29.447086,1.075726,0.038192511
34.966295,-4.000018273,3.20191,29.456858,1.075726,0.044247888
35.04969833,-3.999747818,3.196002,29.506372,1.075726,0.050451778
35.13308833,-3.999968455,3.1914644,29.506372,1.075726,0.056553274
35.13309,-3.999968455,3.1914644,29.524719,1.075726,0.056553274
35.21655333,-4.000008727,3.1880169,29.524719,1.075726,0.06269677
35.216555,-4.000008727,3.1880169,29.548971,1.075726,0.06269677
35.299975,-3.999949818,3.1849442,29.604599,1.075726,0.068817943
35.38339833,-3.999679273,3.1827154,29.640911,1.075726,0.074861303
35.466775,-4.000302273,3.1804008,29.656984,1.075726,0.081004277
35.55019333,-3.999904273,3.1786051,29.656984,1.075726,0.087098487
35.550195,-3.999904273,3.1786051,29.785568,1.075726,0.087098487
35.63359667,-4.000156545,3.1768875,29.785568,1.075726,0.093251623
35.63359833,-4.000156545,3.1768875,29.779476,1.075726,0.093251623
35.71695833,-3.999832364,3.1755028,29.838114,1.075726,0.099376664
35.80031667,-4.000230727,3.1739531,29.89065,1.075726,0.10550959
35.88375667,-3.999719636,3.1727324,29.89065,1.075726,0.11161105
35.88375833,-3.999719636,3.1727324,29.925039,1.075726,0.11161105
35.967095,-3.999930727,3.1714973,29.967447,1.075726,0.11772825
36.05062167,-4.000365545,3.1703062,30.063282,1.075726,0.12383763
36.13397667,-3.999875636,3.1690226,30.039055,1.075726,0.12996361
36.21731167,-3.999987545,3.1679354,30.169256,1.075726,0.13606595
36.30070167,-4.000496455,3.1667004,30.166988,1.075726,0.14218707
36.38417,-4.000052091,3.1657715,30.166988,1.075726,0.14831389
36.38417167,-4.000052091,3.1657715,30.244686,1.075726,0.14831389
36.46756333,-3.999953727,3.1646652,30.235516,1.075726,0.15441824
36.55094667,-4.000023455,3.163806,30.235516,1.075726,0.1605324
36.55094833,-4.000023455,3.163806,30.279997,1.075726,0.1605324
36.63447,-4.000038273,3.1627779,30.317236,1.075726,0.16667487
36.71795167,-4.000347727,3.1617222,30.317236,1.075726,0.17276749
36.71795333,-4.000347727,3.1617222,30.306755,1.075726,0.17276749
36.80144667,-4.000096364,3.1608438,30.371622,1.075726,0.17890227
36.88487833,-4.000061636,3.159771,30.364378,1.075726,0.1849833
36.96832167,-3.999987545,3.1588306,30.449284,1.075726,0.1911198
